# Семь звёзд — гравитационная модель (круговые орбиты)
# Star <R> <color> <m> <x> <y> <Vx> <Vy>
# Planet <R> <color> <m> <x> <y> <Vx> <Vy> <star_index>
# Satellite <R> <color> <m> <x> <y> <Vx> <Vy> <planet_index>
# v=sqrt(GM/r). Нечётная орбита->CW, чётная->CCW, спутник->CW. Индексы глобальные.

Star 10 gold 1.9890e+30 -1.8000e+11 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 khaki 1.0000e+29 -1.2750e+11 1.2990e+10 -8.1470e+04 -4.7037e+04 37
Planet 4 aqua 1.0000e+29 -1.2750e+11 -1.2990e+10 8.1470e+04 -4.7037e+04 37
Planet 4 khaki 1.0000e+29 -1.0000e+11 0.0000e+00 0.0000e+00 -8.1470e+04 37
Planet 4 aqua 1.0000e+29 -1.3000e+11 1.7321e+10 7.0555e+04 4.0735e+04 37
Planet 4 thistle 1.0000e+29 -1.3000e+11 -1.7321e+10 -7.0555e+04 4.0735e+04 37
Planet 4 aqua 1.0000e+29 -9.5000e+10 0.0000e+00 -0.0000e+00 7.2869e+04 37
Planet 4 thistle 1.0000e+29 -1.3250e+11 2.1651e+10 -6.3106e+04 -3.6435e+04 37
Planet 4 coral 1.0000e+29 -1.3250e+11 -2.1651e+10 6.3106e+04 -3.6435e+04 37
Planet 4 thistle 1.0000e+29 -9.0000e+10 0.0000e+00 0.0000e+00 -6.6520e+04 37
Planet 4 coral 1.0000e+29 -1.3500e+11 2.5981e+10 5.7608e+04 3.3260e+04 37
Planet 4 wheat 1.0000e+29 -1.3500e+11 -2.5981e+10 -5.7608e+04 3.3260e+04 37
Satellite 2 gray70 7.3470e+22 -1.2650e+11 1.2990e+10 -8.1470e+04 -1.2873e+05 42
Satellite 2 gray70 7.3470e+22 -9.4000e+10 0.0000e+00 0.0000e+00 -8.8260e+03 47
Satellite 2 gray70 7.3470e+22 -1.3400e+11 -2.5981e+10 -5.7608e+04 -4.8435e+04 52
Star 10 cyan 1.9890e+30 -6.0000e+10 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 green 1.0000e+29 -5.0000e+10 0.0000e+00 0.0000e+00 -1.1522e+05 56
Planet 4 salmon 1.0000e+29 -6.0000e+10 1.0000e+10 1.1522e+05 -7.0550e-12 56
Planet 4 khaki 1.0000e+29 -7.0000e+10 1.2246e-06 1.4110e-11 1.1522e+05 56
Planet 4 aqua 1.0000e+29 -6.0000e+10 -1.0000e+10 -1.1522e+05 2.1165e-11 56
Planet 4 salmon 1.0000e+29 -4.5000e+10 0.0000e+00 -0.0000e+00 9.4074e+04 56
Planet 4 khaki 1.0000e+29 -6.0000e+10 1.5000e+10 -9.4074e+04 5.7603e-12 56
Planet 4 aqua 1.0000e+29 -7.5000e+10 1.8370e-06 -1.1521e-11 -9.4074e+04 56
Planet 4 thistle 1.0000e+29 -6.0000e+10 -1.5000e+10 9.4074e+04 -1.7281e-11 56
Planet 4 khaki 1.0000e+29 -4.0000e+10 0.0000e+00 0.0000e+00 -8.1470e+04 56
Planet 4 aqua 1.0000e+29 -6.0000e+10 2.0000e+10 8.1470e+04 -4.9886e-12 56
Planet 4 thistle 1.0000e+29 -8.0000e+10 2.4493e-06 9.9772e-12 8.1470e+04 56
Planet 4 coral 1.0000e+29 -6.0000e+10 -2.0000e+10 -8.1470e+04 1.4966e-11 56
Planet 4 aqua 1.0000e+29 -3.5000e+10 0.0000e+00 -0.0000e+00 7.2869e+04 56
Planet 4 thistle 1.0000e+29 -6.0000e+10 2.5000e+10 -7.2869e+04 4.4619e-12 56
Planet 4 coral 1.0000e+29 -8.5000e+10 3.0616e-06 -8.9239e-12 -7.2869e+04 56
Planet 4 wheat 1.0000e+29 -6.0000e+10 -2.5000e+10 7.2869e+04 -1.3386e-11 56
Planet 4 thistle 1.0000e+29 -3.0000e+10 0.0000e+00 0.0000e+00 -6.6520e+04 56
Planet 4 coral 1.0000e+29 -6.0000e+10 3.0000e+10 6.6520e+04 -4.0732e-12 56
Planet 4 wheat 1.0000e+29 -9.0000e+10 3.6739e-06 8.1464e-12 6.6520e+04 56
Planet 4 blue 1.0000e+29 -6.0000e+10 -3.0000e+10 -6.6520e+04 1.2220e-11 56
Planet 4 coral 1.0000e+29 -2.5000e+10 0.0000e+00 -0.0000e+00 6.1586e+04 56
Planet 4 wheat 1.0000e+29 -6.0000e+10 3.5000e+10 -6.1586e+04 3.7710e-12 56
Planet 4 blue 1.0000e+29 -9.5000e+10 4.2863e-06 -7.5421e-12 -6.1586e+04 56
Planet 4 green 1.0000e+29 -6.0000e+10 -3.5000e+10 6.1586e+04 -1.1313e-11 56
Planet 4 wheat 1.0000e+29 -2.0000e+10 0.0000e+00 0.0000e+00 -5.7608e+04 56
Planet 4 blue 1.0000e+29 -6.0000e+10 4.0000e+10 5.7608e+04 -3.5275e-12 56
Planet 4 green 1.0000e+29 -1.0000e+11 4.8986e-06 7.0550e-12 5.7608e+04 56
Planet 4 salmon 1.0000e+29 -6.0000e+10 -4.0000e+10 -5.7608e+04 1.0582e-11 56
Planet 4 blue 1.0000e+29 -1.5000e+10 0.0000e+00 -0.0000e+00 5.4313e+04 56
Planet 4 green 1.0000e+29 -1.0500e+11 5.5109e-06 -6.6515e-12 -5.4313e+04 56
Satellite 2 gray70 7.3470e+22 -5.9000e+10 2.0000e+10 8.1470e+04 -8.1695e+04 66
Satellite 2 gray70 7.3470e+22 -6.1000e+10 2.0000e+10 8.1470e+04 8.1695e+04 66
Satellite 2 gray70 7.3470e+22 -5.9000e+10 -3.0000e+10 -6.6520e+04 -8.1695e+04 76
Satellite 2 gray70 7.3470e+22 -6.1000e+10 -3.0000e+10 -6.6520e+04 8.1695e+04 76
Satellite 2 gray70 7.3470e+22 -1.0400e+11 5.5109e-06 -6.6515e-12 -1.3601e+05 86
Satellite 2 gray70 7.3470e+22 -1.0600e+11 5.6334e-06 3.3533e-12 2.7382e+04 86
Star 10 magenta 1.9890e+30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 green 1.0000e+29 1.0000e+10 0.0000e+00 0.0000e+00 -1.1522e+05 93
Planet 4 salmon 1.0000e+29 -5.0000e+09 8.6603e+09 9.9780e+04 5.7608e+04 93
Planet 4 khaki 1.0000e+29 -5.0000e+09 -8.6603e+09 -9.9780e+04 5.7608e+04 93
Planet 4 salmon 1.0000e+29 1.5000e+10 0.0000e+00 -0.0000e+00 9.4074e+04 93
Planet 4 khaki 1.0000e+29 -7.5000e+09 1.2990e+10 -8.1470e+04 -4.7037e+04 93
Planet 4 aqua 1.0000e+29 -7.5000e+09 -1.2990e+10 8.1470e+04 -4.7037e+04 93
Planet 4 khaki 1.0000e+29 2.0000e+10 0.0000e+00 0.0000e+00 -8.1470e+04 93
Planet 4 aqua 1.0000e+29 -1.0000e+10 1.7321e+10 7.0555e+04 4.0735e+04 93
Planet 4 thistle 1.0000e+29 -1.0000e+10 -1.7321e+10 -7.0555e+04 4.0735e+04 93
Planet 4 aqua 1.0000e+29 2.5000e+10 0.0000e+00 -0.0000e+00 7.2869e+04 93
Planet 4 thistle 1.0000e+29 -1.2500e+10 2.1651e+10 -6.3106e+04 -3.6435e+04 93
Planet 4 coral 1.0000e+29 -1.2500e+10 -2.1651e+10 6.3106e+04 -3.6435e+04 93
Planet 4 thistle 1.0000e+29 3.0000e+10 0.0000e+00 0.0000e+00 -6.6520e+04 93
Planet 4 coral 1.0000e+29 -1.5000e+10 2.5981e+10 5.7608e+04 3.3260e+04 93
Planet 4 wheat 1.0000e+29 -1.5000e+10 -2.5981e+10 -5.7608e+04 3.3260e+04 93
Satellite 2 gray70 7.3470e+22 -6.5000e+09 1.2990e+10 -8.1470e+04 -1.2873e+05 98
Satellite 2 gray70 7.3470e+22 2.6000e+10 0.0000e+00 0.0000e+00 -8.8260e+03 103
Satellite 2 gray70 7.3470e+22 -1.4000e+10 -2.5981e+10 -5.7608e+04 -4.8435e+04 108
Star 10 yellow 1.9890e+30 6.0000e+10 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 green 1.0000e+29 7.0000e+10 0.0000e+00 0.0000e+00 -1.1522e+05 112
Planet 4 salmon 1.0000e+29 6.0000e+10 1.0000e+10 1.1522e+05 -7.0550e-12 112
Planet 4 khaki 1.0000e+29 5.0000e+10 1.2246e-06 1.4110e-11 1.1522e+05 112
Planet 4 aqua 1.0000e+29 6.0000e+10 -1.0000e+10 -1.1522e+05 2.1165e-11 112
Planet 4 salmon 1.0000e+29 7.5000e+10 0.0000e+00 -0.0000e+00 9.4074e+04 112
Planet 4 khaki 1.0000e+29 6.0000e+10 1.5000e+10 -9.4074e+04 5.7603e-12 112
Planet 4 aqua 1.0000e+29 4.5000e+10 1.8370e-06 -1.1521e-11 -9.4074e+04 112
Planet 4 thistle 1.0000e+29 6.0000e+10 -1.5000e+10 9.4074e+04 -1.7281e-11 112
Planet 4 khaki 1.0000e+29 8.0000e+10 0.0000e+00 0.0000e+00 -8.1470e+04 112
Planet 4 aqua 1.0000e+29 6.0000e+10 2.0000e+10 8.1470e+04 -4.9886e-12 112
Planet 4 thistle 1.0000e+29 4.0000e+10 2.4493e-06 9.9772e-12 8.1470e+04 112
Planet 4 coral 1.0000e+29 6.0000e+10 -2.0000e+10 -8.1470e+04 1.4966e-11 112
Planet 4 aqua 1.0000e+29 8.5000e+10 0.0000e+00 -0.0000e+00 7.2869e+04 112
Planet 4 thistle 1.0000e+29 6.0000e+10 2.5000e+10 -7.2869e+04 4.4619e-12 112
Planet 4 coral 1.0000e+29 3.5000e+10 3.0616e-06 -8.9239e-12 -7.2869e+04 112
Planet 4 wheat 1.0000e+29 6.0000e+10 -2.5000e+10 7.2869e+04 -1.3386e-11 112
Planet 4 thistle 1.0000e+29 9.0000e+10 0.0000e+00 0.0000e+00 -6.6520e+04 112
Planet 4 coral 1.0000e+29 6.0000e+10 3.0000e+10 6.6520e+04 -4.0732e-12 112
Planet 4 wheat 1.0000e+29 3.0000e+10 3.6739e-06 8.1464e-12 6.6520e+04 112
Planet 4 blue 1.0000e+29 6.0000e+10 -3.0000e+10 -6.6520e+04 1.2220e-11 112
Planet 4 coral 1.0000e+29 9.5000e+10 0.0000e+00 -0.0000e+00 6.1586e+04 112
Planet 4 wheat 1.0000e+29 6.0000e+10 3.5000e+10 -6.1586e+04 3.7710e-12 112
Planet 4 blue 1.0000e+29 2.5000e+10 4.2863e-06 -7.5421e-12 -6.1586e+04 112
Planet 4 green 1.0000e+29 6.0000e+10 -3.5000e+10 6.1586e+04 -1.1313e-11 112
Planet 4 wheat 1.0000e+29 1.0000e+11 0.0000e+00 0.0000e+00 -5.7608e+04 112
Planet 4 blue 1.0000e+29 6.0000e+10 4.0000e+10 5.7608e+04 -3.5275e-12 112
Planet 4 green 1.0000e+29 2.0000e+10 4.8986e-06 7.0550e-12 5.7608e+04 112
Planet 4 salmon 1.0000e+29 6.0000e+10 -4.0000e+10 -5.7608e+04 1.0582e-11 112
Planet 4 blue 1.0000e+29 1.0500e+11 0.0000e+00 -0.0000e+00 5.4313e+04 112
Planet 4 green 1.0000e+29 1.5000e+10 5.5109e-06 -6.6515e-12 -5.4313e+04 112
Satellite 2 gray70 7.3470e+22 6.1000e+10 2.0000e+10 8.1470e+04 -8.1695e+04 122
Satellite 2 gray70 7.3470e+22 5.9000e+10 2.0000e+10 8.1470e+04 8.1695e+04 122
Satellite 2 gray70 7.3470e+22 6.1000e+10 -3.0000e+10 -6.6520e+04 -8.1695e+04 132
Satellite 2 gray70 7.3470e+22 5.9000e+10 -3.0000e+10 -6.6520e+04 8.1695e+04 132
Satellite 2 gray70 7.3470e+22 1.6000e+10 5.5109e-06 -6.6515e-12 -1.3601e+05 142
Satellite 2 gray70 7.3470e+22 1.4000e+10 5.6334e-06 3.3533e-12 2.7382e+04 142
Star 10 white 1.9890e+30 1.2000e+11 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 green 1.0000e+29 1.3000e+11 0.0000e+00 0.0000e+00 -1.1522e+05 149
Planet 4 salmon 1.0000e+29 1.1500e+11 8.6603e+09 9.9780e+04 5.7608e+04 149
Planet 4 khaki 1.0000e+29 1.1500e+11 -8.6603e+09 -9.9780e+04 5.7608e+04 149
Planet 4 salmon 1.0000e+29 1.3500e+11 0.0000e+00 -0.0000e+00 9.4074e+04 149
Planet 4 khaki 1.0000e+29 1.1250e+11 1.2990e+10 -8.1470e+04 -4.7037e+04 149
Planet 4 aqua 1.0000e+29 1.1250e+11 -1.2990e+10 8.1470e+04 -4.7037e+04 149
Planet 4 khaki 1.0000e+29 1.4000e+11 0.0000e+00 0.0000e+00 -8.1470e+04 149
Planet 4 aqua 1.0000e+29 1.1000e+11 1.7321e+10 7.0555e+04 4.0735e+04 149
Planet 4 thistle 1.0000e+29 1.1000e+11 -1.7321e+10 -7.0555e+04 4.0735e+04 149
Planet 4 aqua 1.0000e+29 1.4500e+11 0.0000e+00 -0.0000e+00 7.2869e+04 149
Planet 4 thistle 1.0000e+29 1.0750e+11 2.1651e+10 -6.3106e+04 -3.6435e+04 149
Planet 4 coral 1.0000e+29 1.0750e+11 -2.1651e+10 6.3106e+04 -3.6435e+04 149
Planet 4 thistle 1.0000e+29 1.5000e+11 0.0000e+00 0.0000e+00 -6.6520e+04 149
Planet 4 coral 1.0000e+29 1.0500e+11 2.5981e+10 5.7608e+04 3.3260e+04 149
Planet 4 wheat 1.0000e+29 1.0500e+11 -2.5981e+10 -5.7608e+04 3.3260e+04 149
Satellite 2 gray70 7.3470e+22 1.1350e+11 1.2990e+10 -8.1470e+04 -1.2873e+05 154
Satellite 2 gray70 7.3470e+22 1.4600e+11 0.0000e+00 0.0000e+00 -8.8260e+03 159
Satellite 2 gray70 7.3470e+22 1.0600e+11 -2.5981e+10 -5.7608e+04 -4.8435e+04 164
Star 10 violet 1.9890e+30 1.8000e+11 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 green 1.0000e+29 1.9000e+11 0.0000e+00 0.0000e+00 -1.1522e+05 168
Planet 4 salmon 1.0000e+29 1.8000e+11 1.0000e+10 1.1522e+05 -7.0550e-12 168
Planet 4 khaki 1.0000e+29 1.7000e+11 1.2246e-06 1.4110e-11 1.1522e+05 168
Planet 4 aqua 1.0000e+29 1.8000e+11 -1.0000e+10 -1.1522e+05 2.1165e-11 168
Planet 4 salmon 1.0000e+29 1.9500e+11 0.0000e+00 -0.0000e+00 9.4074e+04 168
Planet 4 khaki 1.0000e+29 1.8000e+11 1.5000e+10 -9.4074e+04 5.7603e-12 168
Planet 4 aqua 1.0000e+29 1.6500e+11 1.8370e-06 -1.1521e-11 -9.4074e+04 168
Planet 4 thistle 1.0000e+29 1.8000e+11 -1.5000e+10 9.4074e+04 -1.7281e-11 168
Planet 4 khaki 1.0000e+29 2.0000e+11 0.0000e+00 0.0000e+00 -8.1470e+04 168
Planet 4 aqua 1.0000e+29 1.8000e+11 2.0000e+10 8.1470e+04 -4.9886e-12 168
Planet 4 thistle 1.0000e+29 1.6000e+11 2.4493e-06 9.9772e-12 8.1470e+04 168
Planet 4 coral 1.0000e+29 1.8000e+11 -2.0000e+10 -8.1470e+04 1.4966e-11 168
Planet 4 aqua 1.0000e+29 2.0500e+11 0.0000e+00 -0.0000e+00 7.2869e+04 168
Planet 4 thistle 1.0000e+29 1.8000e+11 2.5000e+10 -7.2869e+04 4.4619e-12 168
Planet 4 coral 1.0000e+29 1.5500e+11 3.0616e-06 -8.9239e-12 -7.2869e+04 168
Planet 4 wheat 1.0000e+29 1.8000e+11 -2.5000e+10 7.2869e+04 -1.3386e-11 168
Planet 4 thistle 1.0000e+29 2.1000e+11 0.0000e+00 0.0000e+00 -6.6520e+04 168
Planet 4 coral 1.0000e+29 1.8000e+11 3.0000e+10 6.6520e+04 -4.0732e-12 168
Planet 4 wheat 1.0000e+29 1.5000e+11 3.6739e-06 8.1464e-12 6.6520e+04 168
Planet 4 blue 1.0000e+29 1.8000e+11 -3.0000e+10 -6.6520e+04 1.2220e-11 168
Planet 4 coral 1.0000e+29 2.1500e+11 0.0000e+00 -0.0000e+00 6.1586e+04 168
Planet 4 wheat 1.0000e+29 1.8000e+11 3.5000e+10 -6.1586e+04 3.7710e-12 168
Planet 4 blue 1.0000e+29 1.4500e+11 4.2863e-06 -7.5421e-12 -6.1586e+04 168
Planet 4 green 1.0000e+29 1.8000e+11 -3.5000e+10 6.1586e+04 -1.1313e-11 168
Planet 4 wheat 1.0000e+29 2.2000e+11 0.0000e+00 0.0000e+00 -5.7608e+04 168
Planet 4 blue 1.0000e+29 1.8000e+11 4.0000e+10 5.7608e+04 -3.5275e-12 168
Planet 4 green 1.0000e+29 1.4000e+11 4.8986e-06 7.0550e-12 5.7608e+04 168
Planet 4 salmon 1.0000e+29 1.8000e+11 -4.0000e+10 -5.7608e+04 1.0582e-11 168
Planet 4 blue 1.0000e+29 2.2500e+11 0.0000e+00 -0.0000e+00 5.4313e+04 168
Planet 4 green 1.0000e+29 1.3500e+11 5.5109e-06 -6.6515e-12 -5.4313e+04 168
Satellite 2 gray70 7.3470e+22 1.8100e+11 2.0000e+10 8.1470e+04 -8.1695e+04 178
Satellite 2 gray70 7.3470e+22 1.7900e+11 2.0000e+10 8.1470e+04 8.1695e+04 178
Satellite 2 gray70 7.3470e+22 1.8100e+11 -3.0000e+10 -6.6520e+04 -8.1695e+04 188
Satellite 2 gray70 7.3470e+22 1.7900e+11 -3.0000e+10 -6.6520e+04 8.1695e+04 188
Satellite 2 gray70 7.3470e+22 1.3600e+11 5.5109e-06 -6.6515e-12 -1.3601e+05 198
Satellite 2 gray70 7.3470e+22 1.3400e+11 5.6334e-06 3.3533e-12 2.7382e+04 198
